id,survey_id,host_id,room_type,neighbourhood_cleansed,neighbourhood,number_of_reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minimum_nights,last_modified,latitude,longitude,location
14097314,1458,84842388,Shared room,Kandy,K.F.G. & G. Korale,1,0,8,1,1,1000,1,42939.96013,7.28373,80.619352,0101000020E6100000952D9276A32754408A93FB1D8A221D40
17646561,1458,120055106,Shared room,Kandy,K.F.G. & G. Korale,0,0,16,1,1,3000,2,42939.96013,7.279929,80.627086,0101000020E6100000E371512D22285440D5CE30B5A51E1D40
16456934,1458,107963386,Shared room,Galle,Ambalangoda,0,0,16,1,1,1800,1,42939.96013,6.241743,80.04868,0101000020E610000009FEB7921D035440D0251C7A8BF71840
13784501,1458,80957170,Shared room,Galle,Galle Four Gravets,5,5,6,1,1,1000,1,42939.96013,6.054263,80.219418,0101000020E6100000D789CBF10A0E5440098849B890371840
17531247,1458,118894589,Shared room,Ampara,Pothuvil,1,0,16,1,1,1000,1,42939.96013,6.839381,81.833201,0101000020E6100000A67F492A53755440FD885FB1865B1B40
13515927,1458,77618469,Shared room,Matara,Devinuwara,0,0,4,1,1,1500,1,42939.96013,5.930504,80.582945,0101000020E610000078978BF84E2554405130630AD6B81740
13418437,1458,76471097,Shared room,Galle,Habaraduwa,0,0,6,1,1,1700,1,42939.96011,5.974516,80.358926,0101000020E6100000C8EBC1A4F816544007B7B585E7E51740
14434511,1458,88847919,Shared room,Anuradhapura,N. Palatha Central,0,0,16,1,1,2000,1,42939.96011,8.371136,80.41912,0101000020E61000005F46B1DCD21A54408CBCAC8905BE2040
9978585,1458,51275793,Shared room,Colombo,Colombo,14,4,1,1,1,1000,1,42939.96011,6.912393,79.857028,0101000020E610000067F0F78BD9F65340B665C0594AA61B40
3640052,1458,18371590,Shared room,Gampaha,Katana,37,4,4,1,1,1000,3,42939.96011,7.170236,79.866299,0101000020E6100000AE635C7171F753404D68925852AE1C40
16635503,1458,9826465,Shared room,Kandy,K.F.G. & G. Korale,0,0,16,1,1,1000,1,42939.96011,7.294398,80.633783,0101000020E6100000B07092E68F285440FF0758AB762D1D40
14810279,1458,92560281,Shared room,Colombo,Dehiwala-Mount Lavinia,4,5,9,1,1,1200,1,42939.96011,6.831307,79.866587,0101000020E6100000E108522976F7534055BE672442531B40
10781566,1458,10686132,Shared room,Kandy,K.F.G. & G. Korale,1,0,6,1,1,1300,1,42939.96011,7.282565,80.649535,0101000020E6100000DFA63FFB912954401AFA27B858211D40
13418688,1458,21776519,Shared room,Anuradhapura,N. Palatha East,1,0,14,1,1,1000,1,42939.96011,8.323557,80.406697,0101000020E61000006798DA52071A5440A3C85A43A9A52040
17897677,1458,100335216,Shared room,Badulla,Ella,0,0,2,1,1,2700,1,42939.96011,6.868241,81.046904,0101000020E61000004D83A27900435440732F302B14791B40
8126099,1458,42911882,Shared room,Anuradhapura,Palugaswewa,0,0,3,1,1,4000,1,42939.96011,8.035094,80.755668,0101000020E61000008FA850DD5C30544058923CD7F7112040
9564851,1458,41130618,Shared room,Trincomalee,Kuchchaveli,0,0,2,1,1,1700,1,42939.96011,8.690374,81.192746,0101000020E6100000D49B51F3554C5440750470B378612140
1831054,1458,9576778,Shared room,Matale,Dambulla,0,0,1,1,1,1500,1,42939.96011,7.999263,80.748909,0101000020E610000086AB0320EE2F54405169C4CC3EFF1F40
11179580,1458,58183868,Shared room,Galle,Galle Four Gravets,2,0,16,1,1,2500,1,42939.96011,6.046979,80.219258,0101000020E6100000BAD8B452080E5440286552431B301840
14121133,1458,56054186,Shared room,Kandy,K.F.G. & G. Korale,0,0,6,1,1,2000,1,42939.96011,7.285448,80.61672,0101000020E610000081B22957782754409DD5027B4C241D40
17370614,1458,117392248,Shared room,Gampaha,Gampaha,0,0,16,1,1,1500,1,42939.96011,7.088075,80.016429,0101000020E61000002F6D382C0D0154407C613255305A1C40
16396172,1458,8990882,Shared room,Matara,Dickwella,4,5,1,1,1,1300,1,42939.96011,5.967084,80.706102,0101000020E6100000F96871C6302D544080F0A1444BDE1740
12398632,1458,54469161,Shared room,Badulla,Ella,3,5,3,1,1,3900,1,42939.96011,6.869312,81.04741,0101000020E610000037E0F3C308435440D714C8EC2C7A1B40
16197159,1458,105782318,Shared room,Kandy,K.F.G. & G. Korale,1,0,5,1,1,2000,1,42939.96011,7.285024,80.646962,0101000020E61000004EF04DD367295440E84CDA54DD231D40
16958829,1458,107834081,Shared room,Moneragala,Wellawaya,0,0,3,1,1,1000,1,42939.96009,6.809505,81.083088,0101000020E61000002AAC5450514554403ECBF3E0EE3C1B40
9878517,1458,50826619,Shared room,Kegalle,Deraniyagala,3,4,2,1,1,2900,1,42939.96009,6.998035,80.387754,0101000020E61000002A3927F6D0185440AE0D15E3FCFD1B40
16397237,1458,8990882,Shared room,Matara,Dickwella,12,4.5,8,1,1,1300,1,42939.96009,5.966757,80.707768,0101000020E6100000F14927124C2D54405FB7088CF5DD1740
10784797,1458,25435257,Shared room,Galle,Habaraduwa,3,4.5,16,1,1,1000,1,42939.96009,6.020292,80.241638,0101000020E610000022DE3AFF760F5440537B116DC7141840
14937372,1458,75332875,Shared room,Badulla,Hildummulla,2,0,1,1,1,2600,1,42939.96009,6.792493,80.850961,0101000020E6100000F94A202576365440583CF548832B1B40
14906877,1458,23168847,Shared room,Kandy,K.F.G. & G. Korale,0,0,3,1,1,1100,1,42939.96009,7.262479,80.666586,0101000020E61000002C7E5358A92A5440118C834BC70C1D40
19582148,1458,137597889,Shared room,Badulla,Ella,0,0,8,1,1,1000,1,42939.96009,6.87105,81.039135,0101000020E6100000414816308142544024B9FC87F47B1B40
15857437,1458,72397041,Shared room,Kandy,K.F.G. & G. Korale,3,5,1,1,1,1000,1,42939.96009,7.289705,80.628771,0101000020E6100000166BB8C83D28544062F3716DA8281D40
11056151,1458,8990882,Shared room,Matara,Dickwella,8,4.5,1,1,1,1300,1,42939.96009,5.963988,80.709965,0101000020E61000007F130A11702D54401FF296AB1FDB1740
19924313,1458,9826465,Shared room,Matara,Weligama,0,0,8,1,1,1000,1,42939.96009,5.950406,80.461741,0101000020E61000003B8E1F2A8D1D54404FB0FF3A37CD1740
16800155,1458,111683062,Shared room,Nuwara Eliya,Nuwara Eliya,1,0,6,1,1,1200,1,42939.96009,6.976806,80.772284,0101000020E610000057CEDE196D315440742502D53FE81B40
9337464,1458,9573064,Shared room,Colombo,Thimbirigasyaya,17,4.5,8,1,1,1000,1,42939.96009,6.897419,79.875493,0101000020E610000020B8CA1308F85340713C9F01F5961B40
17849391,1458,118894589,Shared room,Ampara,Pothuvil,1,0,8,1,1,1200,1,42939.96009,6.839815,81.831884,0101000020E6100000348463963D755440CEC29E76F85B1B40
14348388,1458,87916231,Shared room,Anuradhapura,Mihinthale,0,0,16,1,1,1100,1,42939.96009,8.354207,80.505638,0101000020E61000005A677C5F5C2054404F07B29E5AB52040
14111853,1458,85017231,Shared room,Matale,Dambulla,0,0,16,1,1,1800,1,42939.96009,7.848326,80.653877,0101000020E6100000D2A6EA1ED9295440D0622992AF641F40
16386477,1458,8990882,Shared room,Matara,Dickwella,7,5,1,1,1,1300,1,42939.96009,5.966864,80.705581,0101000020E610000074EB353D282D54400FB8AE9811DE1740
17767470,1458,121158337,Shared room,Colombo,Thimbirigasyaya,0,0,4,1,1,1500,1,42939.96009,6.899774,79.868942,0101000020E6100000BC07E8BE9CF75340172AFF5A5E991B40
15903756,1458,80957170,Shared room,Galle,Galle Four Gravets,4,4.5,6,1,1,1000,1,42939.96009,6.054376,80.219189,0101000020E610000026A94C31070E5440CBBF9657AE371840
18435720,1458,127787588,Shared room,Matara,Weligama,0,0,4,1,1,1100,1,42939.96006,5.943437,80.465072,0101000020E6100000439259BDC31D54406D58535914C61740
